Season,Race,evolution_log,r2
2022,Abu Dhabi Grand Prix,0.1674623187282242,0.12656362283376887
2022,Australian Grand Prix,-0.6170417232908793,0.3387881295130446
2022,Austrian Grand Prix,0.18998893793681257,0.18586632391510316
2022,Azerbaijan Grand Prix,-0.6101216131982266,0.6670469398751171
2022,British Grand Prix,-0.4569224350392858,0.588441484128497
2022,Canadian Grand Prix,0.27444068944430877,0.202759962420059
2022,Dutch Grand Prix,0.7240940800830766,0.7002310020622372
2022,Emilia Romagna Grand Prix,-1.865529190579898,0.3189181330035641
2022,French Grand Prix,-0.04044994298632298,0.005767608421843318
2022,Hungarian Grand Prix,0.878933083233471,0.3764896174013175
2022,Italian Grand Prix,-0.3060719311532216,0.6428251815858523
2022,Mexico City Grand Prix,0.24813159746391497,0.2099578404122341
2022,Miami Grand Prix,0.048987766289863656,0.009123979848710606
2022,Monaco Grand Prix,-7.7703357920418386,0.8445050949069306
2022,Saudi Arabian Grand Prix,-1.0092074441477106,0.39294949031092263
2022,Spanish Grand Prix,0.5455602138802881,0.30058302670019776
2022,São Paulo Grand Prix,0.5249733826011004,0.643179027169672
2022,United States Grand Prix,-0.1548691814535706,0.10261891154051861
2023,Abu Dhabi Grand Prix,-0.025292973332752225,0.011022391129621112
2023,Australian Grand Prix,1.0421804583648768,0.587697839786147
2023,Austrian Grand Prix,0.2227673896871363,0.28435532062291613
2023,Azerbaijan Grand Prix,-0.08571123755876685,0.003218149283453098
2023,Bahrain Grand Prix,0.31844550241791364,0.19659922376500827
2023,Belgian Grand Prix,-0.9188240399048756,0.23364484444893496
2023,British Grand Prix,-0.3447247726518071,0.5759813934811255
2023,Canadian Grand Prix,0.10707910924785222,0.06303402133052372
2023,Dutch Grand Prix,-0.287276033759208,0.1073455780228526
2023,Hungarian Grand Prix,0.21261123168366955,0.1826534272406839
2023,Italian Grand Prix,0.049368145036136554,0.03185417896157272
2023,Japanese Grand Prix,-0.5321111862460127,0.2703939689122663
2023,Las Vegas Grand Prix,-1.7662782073990342,0.6716573827231022
2023,Mexico City Grand Prix,0.3014564929159719,0.22407727787292642
2023,Miami Grand Prix,-0.12852175970952054,0.1749339890107201
2023,Monaco Grand Prix,0.34006626398323436,0.07522755905874123
2023,Saudi Arabian Grand Prix,-0.7264912476509113,0.5394954999821477
2023,Singapore Grand Prix,1.0995870803722705,0.6200036006269121
2023,Spanish Grand Prix,-0.20378193546933338,0.28356403218331117
2023,São Paulo Grand Prix,0.11007491625338811,0.06007125346306119
2023,United States Grand Prix,-0.3664630937567609,0.5785332965064631
2024,Abu Dhabi Grand Prix,0.1782685197591231,0.21901728918376628
2024,Australian Grand Prix,0.023128509096967342,0.0024426809190748466
2024,Austrian Grand Prix,0.47637828630829465,0.8055078098603312
2024,Azerbaijan Grand Prix,-0.35977821850494307,0.3453946875460753
2024,Bahrain Grand Prix,-0.28527972456287237,0.2973870736308811
2024,Belgian Grand Prix,-0.9398255272472319,0.6723469578473777
2024,British Grand Prix,1.0524865153595955,0.2739918119862449
2024,Chinese Grand Prix,-0.0823899793637337,0.016357604265829218
2024,Dutch Grand Prix,0.1466048136551081,0.17569678622590645
2024,Emilia Romagna Grand Prix,0.37330531737134437,0.6542732773623343
2024,Hungarian Grand Prix,0.1897168942355145,0.1304495371744
2024,Italian Grand Prix,-0.49735677762247194,0.7260413850727324
2024,Japanese Grand Prix,-1.0191529982136653,0.7367314012374526
2024,Las Vegas Grand Prix,-0.935116993342222,0.5973318281691052
2024,Mexico City Grand Prix,-0.009566546751748003,0.0005116825512782031
2024,Miami Grand Prix,-0.11312154305712392,0.12972778090202752
2024,Monaco Grand Prix,-0.8298700766659033,0.46498132029639594
2024,Qatar Grand Prix,-0.3794186427572929,0.13149018076115726
2024,Saudi Arabian Grand Prix,-0.7315961747777311,0.6218945371851596
2024,Singapore Grand Prix,0.3200802069518912,0.27763511820858655
2024,Spanish Grand Prix,-0.2621663244416337,0.3282977993746081
2024,United States Grand Prix,-0.5584346289870731,0.6023666779502823
2025,Abu Dhabi Grand Prix,-0.12810171029091474,0.18375604061061623
2025,Austrian Grand Prix,0.3694819056403256,0.5446057612224497
2025,Azerbaijan Grand Prix,-1.2785649976142408,0.7128528125401494
2025,Bahrain Grand Prix,0.07948240398130833,0.01903439024707032
2025,Belgian Grand Prix,-2.026233961031562,0.38880511945073337
2025,Canadian Grand Prix,0.1654757471829703,0.20225663647955727
2025,Chinese Grand Prix,-0.4445645404966036,0.45166166606942604
2025,Dutch Grand Prix,0.1863460433012046,0.10527747883085659
2025,Emilia Romagna Grand Prix,-0.04300334787907529,0.010210781284110348
2025,Hungarian Grand Prix,0.15761774436803128,0.07107750071315477
2025,Italian Grand Prix,-0.5578995981249919,0.8430139314814581
2025,Japanese Grand Prix,-0.5789671818008975,0.8044635151344713
2025,Las Vegas Grand Prix,-0.9704594941720862,0.9426174903222215
2025,Mexico City Grand Prix,-0.02154571145410213,0.005743399090258006
2025,Miami Grand Prix,0.18030538447962963,0.13552224089466758
2025,Monaco Grand Prix,0.5258705945448706,0.15135376177079485
2025,Qatar Grand Prix,-0.8412603400835528,0.6727863578524882
2025,Saudi Arabian Grand Prix,-0.519288252116493,0.5461687535444463
2025,Singapore Grand Prix,0.04862197365147843,0.004654796099269998
2025,Spanish Grand Prix,0.14611708385767028,0.14247077569033584
2025,São Paulo Grand Prix,0.7280588139921966,0.6430132677774855
2025,United States Grand Prix,-0.1921514593646654,0.2190817399724706
