Driver,Team,GridPosition,Position,ClassifiedPosition,Status,Points,Race,Round
BOR,Audi,21.0,12.0,12,Lapped,0.0,Miami Grand Prix,4
OCO,Haas F1 Team,14.0,13.0,13,Lapped,0.0,Miami Grand Prix,4
LIN,Racing Bulls,16.0,14.0,14,Lapped,0.0,Miami Grand Prix,4
ALO,Aston Martin,17.0,15.0,15,Lapped,0.0,Miami Grand Prix,4
PER,Cadillac,20.0,16.0,16,Lapped,0.0,Miami Grand Prix,4
STR,Aston Martin,18.0,17.0,17,Lapped,0.0,Miami Grand Prix,4
BOT,Cadillac,19.0,18.0,18,Lapped,0.0,Miami Grand Prix,4
HUL,Audi,10.0,19.0,R,Retired,0.0,Miami Grand Prix,4
LAW,Racing Bulls,11.0,20.0,R,Retired,0.0,Miami Grand Prix,4
GAS,Alpine,9.0,21.0,R,Retired,0.0,Miami Grand Prix,4
HAD,Red Bull Racing,22.0,22.0,R,Retired,0.0,Miami Grand Prix,4
ANT,Mercedes,2.0,1.0,1,Finished,25.0,Canadian Grand Prix,5
HAM,Ferrari,5.0,2.0,2,Finished,18.0,Canadian Grand Prix,5
VER,Red Bull Racing,6.0,3.0,3,Finished,15.0,Canadian Grand Prix,5
LEC,Ferrari,8.0,4.0,4,Finished,12.0,Canadian Grand Prix,5
HAD,Red Bull Racing,7.0,5.0,5,Lapped,10.0,Canadian Grand Prix,5
COL,Alpine,10.0,6.0,6,Lapped,8.0,Canadian Grand Prix,5
LAW,Racing Bulls,12.0,7.0,7,Lapped,6.0,Canadian Grand Prix,5
GAS,Alpine,14.0,8.0,8,Lapped,4.0,Canadian Grand Prix,5
SAI,Williams,15.0,9.0,9,Lapped,2.0,Canadian Grand Prix,5
BEA,Haas F1 Team,16.0,10.0,10,Lapped,1.0,Canadian Grand Prix,5
PIA,McLaren,4.0,11.0,11,Lapped,0.0,Canadian Grand Prix,5
HUL,Audi,11.0,12.0,12,Lapped,0.0,Canadian Grand Prix,5
BOR,Audi,13.0,13.0,13,Lapped,0.0,Canadian Grand Prix,5
OCO,Haas F1 Team,17.0,14.0,14,Lapped,0.0,Canadian Grand Prix,5
STR,Aston Martin,22.0,15.0,15,Lapped,0.0,Canadian Grand Prix,5
BOT,Cadillac,21.0,16.0,16,Lapped,0.0,Canadian Grand Prix,5
PER,Cadillac,20.0,17.0,R,Retired,0.0,Canadian Grand Prix,5
NOR,McLaren,3.0,18.0,R,Retired,0.0,Canadian Grand Prix,5
RUS,Mercedes,1.0,19.0,R,Retired,0.0,Canadian Grand Prix,5
ALO,Aston Martin,19.0,20.0,R,Retired,0.0,Canadian Grand Prix,5
ALB,Williams,18.0,21.0,R,Retired,0.0,Canadian Grand Prix,5
LIN,Racing Bulls,9.0,22.0,W,Did not start,0.0,Canadian Grand Prix,5
