Race,Round,attacker,defender,attacking_team,defending_team,start_lap,end_lap,laps_in_contact,mean_advantage,min_gap,passed,reason,censored_strict,censored_loose
Barcelona Grand Prix,7,COL,HUL,Alpine,Audi,19,19,1,0.37350000000000705,1.2920000000001437,False,dropped_back,False,True
Barcelona Grand Prix,7,GAS,HUL,Alpine,Audi,22,26,5,0.41100000000000136,0.8840000000000146,False,pit,True,True
Barcelona Grand Prix,7,HAD,COL,Red Bull Racing,Alpine,7,7,1,1.3044999999999902,0.7740000000000009,True,pass,False,False
Barcelona Grand Prix,7,HAD,GAS,Red Bull Racing,Alpine,4,6,3,1.266999999999996,0.35400000000004184,True,pass,False,False
Barcelona Grand Prix,7,HAD,LIN,Red Bull Racing,Racing Bulls,8,10,3,1.269999999999996,0.43800000000010186,True,pass,False,False
Barcelona Grand Prix,7,HAD,SAI,Red Bull Racing,Williams,3,3,1,1.5870000000000033,0.2810000000000059,True,pass,False,False
Barcelona Grand Prix,7,HAM,LEC,Ferrari,Ferrari,32,32,1,1.3289999999999935,0.5139999999996689,True,pass,False,False
Barcelona Grand Prix,7,HAM,RUS,Ferrari,Mercedes,3,3,1,0.8224999999999909,1.417999999999978,False,dropped_back,False,True
Barcelona Grand Prix,7,LAW,ALB,Racing Bulls,Williams,55,55,1,0.8650000000000091,0.7739999999994325,False,retired,True,True
Barcelona Grand Prix,7,LIN,HUL,Racing Bulls,Audi,3,5,3,0.40800000000000125,0.8489999999999895,False,dropped_back,False,True
Barcelona Grand Prix,7,LIN,OCO,Racing Bulls,Haas F1 Team,26,26,1,0.7169999999999987,0.23399999999946886,True,pass,False,False
Barcelona Grand Prix,7,LIN,SAI,Racing Bulls,Williams,45,45,1,0.3170000000000073,0.46900000000005093,True,pass,False,False
Barcelona Grand Prix,7,VER,NOR,Red Bull Racing,McLaren,3,4,2,0.20699999999999363,1.0989999999999895,False,dropped_back,False,True
Barcelona Grand Prix,7,VER,NOR,Red Bull Racing,McLaren,6,6,1,0.20699999999999363,1.377999999999929,False,dropped_back,False,True
Belgian Grand Prix,10,ALO,STR,Aston Martin,Aston Martin,7,8,2,0.22150000000000603,0.09800000000001319,True,pass,False,False
Belgian Grand Prix,10,ANT,LEC,Mercedes,Ferrari,24,24,1,0.2715000000000032,1.0870000000004438,False,dropped_back,False,True
