Season,RoundNumber,Race,Driver,grid_pos,Position,grid_rank,lap1_rank,change,field
2022,5,Miami Grand Prix,LAT,19.0,17.0,17.0,17.0,0.0,18
2022,5,Miami Grand Prix,RUS,12.0,15.0,11.0,15.0,-4.0,18
2022,5,Miami Grand Prix,BOT,5.0,5.0,5.0,5.0,0.0,18
2022,6,Spanish Grand Prix,VER,2.0,2.0,2.0,2.0,0.0,18
2022,6,Spanish Grand Prix,PER,5.0,4.0,5.0,4.0,1.0,18
2022,6,Spanish Grand Prix,RUS,4.0,3.0,4.0,3.0,1.0,18
2022,6,Spanish Grand Prix,SAI,3.0,5.0,3.0,5.0,-2.0,18
2022,6,Spanish Grand Prix,BOT,7.0,7.0,6.0,7.0,-1.0,18
2022,6,Spanish Grand Prix,OCO,12.0,9.0,10.0,9.0,1.0,18
2022,6,Spanish Grand Prix,NOR,11.0,10.0,9.0,10.0,-1.0,18
2022,6,Spanish Grand Prix,ALO,20.0,15.0,18.0,15.0,3.0,18
2022,6,Spanish Grand Prix,TSU,13.0,11.0,11.0,11.0,0.0,18
2022,6,Spanish Grand Prix,VET,16.0,13.0,14.0,13.0,1.0,18
2022,6,Spanish Grand Prix,RIC,9.0,8.0,7.0,8.0,-1.0,18
2022,6,Spanish Grand Prix,GAS,14.0,12.0,12.0,12.0,0.0,18
2022,6,Spanish Grand Prix,MSC,10.0,6.0,8.0,6.0,2.0,18
2022,6,Spanish Grand Prix,STR,17.0,14.0,15.0,14.0,1.0,18
2022,6,Spanish Grand Prix,LAT,19.0,18.0,17.0,18.0,-1.0,18
2022,6,Spanish Grand Prix,ALB,18.0,16.0,16.0,16.0,0.0,18
2022,6,Spanish Grand Prix,ZHO,15.0,17.0,13.0,17.0,-4.0,18
2022,6,Spanish Grand Prix,LEC,1.0,1.0,1.0,1.0,0.0,18
2022,8,Azerbaijan Grand Prix,VER,3.0,3.0,3.0,3.0,0.0,20
2022,8,Azerbaijan Grand Prix,GAS,6.0,6.0,6.0,6.0,0.0,20
2022,8,Azerbaijan Grand Prix,PER,2.0,1.0,2.0,1.0,1.0,20
2022,8,Azerbaijan Grand Prix,ALO,10.0,10.0,10.0,10.0,0.0,20
2022,8,Azerbaijan Grand Prix,LEC,1.0,2.0,1.0,2.0,-1.0,20
2022,8,Azerbaijan Grand Prix,STR,19.0,17.0,19.0,17.0,2.0,20
2022,8,Azerbaijan Grand Prix,MAG,16.0,18.0,16.0,18.0,-2.0,20
2022,8,Azerbaijan Grand Prix,TSU,8.0,9.0,8.0,9.0,-1.0,20
2022,8,Azerbaijan Grand Prix,ALB,17.0,15.0,17.0,15.0,2.0,20
2022,8,Azerbaijan Grand Prix,ZHO,14.0,14.0,14.0,14.0,0.0,20
2022,8,Azerbaijan Grand Prix,RIC,12.0,12.0,12.0,12.0,0.0,20
2022,8,Azerbaijan Grand Prix,OCO,13.0,13.0,13.0,13.0,0.0,20
2022,8,Azerbaijan Grand Prix,NOR,11.0,11.0,11.0,11.0,0.0,20
2022,8,Azerbaijan Grand Prix,HAM,7.0,7.0,7.0,7.0,0.0,20
2022,8,Azerbaijan Grand Prix,MSC,20.0,20.0,20.0,20.0,0.0,20
2022,8,Azerbaijan Grand Prix,VET,9.0,8.0,9.0,8.0,1.0,20
2022,8,Azerbaijan Grand Prix,SAI,4.0,4.0,4.0,4.0,0.0,20
2022,8,Azerbaijan Grand Prix,LAT,18.0,19.0,18.0,19.0,-1.0,20
2022,8,Azerbaijan Grand Prix,RUS,5.0,5.0,5.0,5.0,0.0,20
2022,8,Azerbaijan Grand Prix,BOT,15.0,16.0,15.0,16.0,-1.0,20
2022,9,Canadian Grand Prix,VER,1.0,1.0,1.0,1.0,0.0,20
2022,9,Canadian Grand Prix,GAS,15.0,17.0,15.0,17.0,-2.0,20
2022,9,Canadian Grand Prix,PER,13.0,11.0,13.0,11.0,2.0,20
2022,9,Canadian Grand Prix,ALO,2.0,2.0,2.0,2.0,0.0,20
2022,9,Canadian Grand Prix,LEC,19.0,18.0,19.0,18.0,1.0,20
2022,9,Canadian Grand Prix,STR,17.0,16.0,17.0,16.0,1.0,20
2022,9,Canadian Grand Prix,MAG,5.0,5.0,5.0,5.0,0.0,20
2022,9,Canadian Grand Prix,TSU,20.0,19.0,20.0,19.0,1.0,20
2022,9,Canadian Grand Prix,ALB,12.0,12.0,12.0,12.0,0.0,20
2022,9,Canadian Grand Prix,ZHO,10.0,10.0,10.0,10.0,0.0,20
2022,9,Canadian Grand Prix,RIC,9.0,9.0,9.0,9.0,0.0,20
2022,9,Canadian Grand Prix,OCO,7.0,6.0,7.0,6.0,1.0,20
2022,9,Canadian Grand Prix,NOR,14.0,14.0,14.0,14.0,0.0,20
2022,9,Canadian Grand Prix,HAM,4.0,4.0,4.0,4.0,0.0,20
2022,9,Canadian Grand Prix,MSC,6.0,8.0,6.0,8.0,-2.0,20
2022,9,Canadian Grand Prix,VET,16.0,15.0,16.0,15.0,1.0,20
2022,9,Canadian Grand Prix,SAI,3.0,3.0,3.0,3.0,0.0,20
2022,9,Canadian Grand Prix,LAT,18.0,20.0,18.0,20.0,-2.0,20
2022,9,Canadian Grand Prix,RUS,8.0,7.0,8.0,7.0,1.0,20
2022,9,Canadian Grand Prix,BOT,11.0,13.0,11.0,13.0,-2.0,20
2022,11,Austrian Grand Prix,VER,1.0,1.0,1.0,1.0,0.0,18
2022,11,Austrian Grand Prix,GAS,14.0,12.0,13.0,12.0,1.0,18
2022,11,Austrian Grand Prix,ALO,19.0,18.0,18.0,18.0,0.0,18
2022,11,Austrian Grand Prix,LEC,2.0,2.0,2.0,2.0,0.0,18
2022,11,Austrian Grand Prix,STR,12.0,11.0,11.0,11.0,0.0,18
2022,11,Austrian Grand Prix,MAG,7.0,6.0,6.0,6.0,0.0,18
2022,11,Austrian Grand Prix,TSU,16.0,15.0,15.0,15.0,0.0,18
2022,11,Austrian Grand Prix,ALB,15.0,13.0,14.0,13.0,1.0,18
2022,11,Austrian Grand Prix,ZHO,13.0,14.0,12.0,14.0,-2.0,18
2022,11,Austrian Grand Prix,RIC,11.0,9.0,10.0,9.0,1.0,18
2022,11,Austrian Grand Prix,OCO,6.0,5.0,5.0,5.0,0.0,18
2022,11,Austrian Grand Prix,NOR,10.0,10.0,9.0,10.0,-1.0,18
2022,11,Austrian Grand Prix,HAM,8.0,7.0,7.0,7.0,0.0,18
