Race,lap_distance,driver,lap_time_s,n_corners,corner_speed_median,corner_speed_p10,mean_over_top_speed,full_throttle_share,longest_flat_out,sustained_300,n_sustained_300,sustained_500,n_sustained_500,sustained_700,n_sustained_700,n_braking_zones,braking_share,curvature_median,curvature_p90,direction_changes,n_drs_zones,straight_blend,corner_speed_median_z,straight_blend_z,braking_share_z,curvature_p90_z,measured_season,layout_note
Australian Grand Prix,5185.0,NOR,75.096,6,0.5010526906611258,0.3202950285839784,0.8083411295966202,0.7369942196531792,0.2459016393442623,0.6335583413693346,5,0.4541947926711668,3,0.2459016393442623,1,6,0.08766859344894026,0.0019264132952016189,0.011490317080745991,10,5,0.42373576507884386,1.077731148926867,0.42373576507884386,-1.3520390678455416,-1.0225622859587264,2025,"single season, layout change not detectable"
Chinese Grand Prix,5345.0,PIA,90.641,6,0.30789076519881065,0.23358877081041668,0.7286889225430816,0.6719626168224299,0.24789522918615528,0.5893358278765201,5,0.3498596819457437,2,0.24789522918615528,1,7,0.12990654205607477,0.0016672104835587628,0.018016052535444554,7,3,-0.13974110842429538,-1.0912229893965282,-0.13974110842429535,0.043856640084217774,0.869981315100899,2025,"single season, layout change not detectable"
Japanese Grand Prix,5765.0,VER,86.983,6,0.49832972506253803,0.2702651570631109,0.7848549896876981,0.7261698440207972,0.22029488291413704,0.5819601040763226,4,0.5819601040763226,4,0.3512575888985256,2,6,0.09618717504332755,0.002867351824764298,0.013816028668197762,14,2,0.9830516955946459,1.0471558298548826,0.9830516955946459,-1.0705137599794745,-0.3480773005808773,2025,"single season, layout change not detectable"
Bahrain Grand Prix,5320.0,PIA,89.841,8,0.40007325646972663,0.242392268952917,0.7528374924497968,0.6563380281690141,0.10432330827067669,0.5554511278195489,6,0.3073308270676692,3,0.0,0,8,0.13427230046948357,0.0008162318404031122,0.014156794038043307,8,4,-1.1840390672527774,-0.05613496444297368,-1.1840390672527774,0.1881378760840696,-0.24925114916225655,2025,"single season, layout change not detectable"
Saudi Arabian Grand Prix,6085.0,VER,87.294,7,0.5496877193622832,0.30329575482184834,0.7897107770382614,0.8045977011494253,0.17748562037797863,0.8052588331963846,8,0.6195562859490551,5,0.34593262119967133,2,6,0.090311986863711,0.0022966136283284356,0.012950602635955839,16,4,0.9486193508367053,1.6238384965129857,0.9486193508367053,-1.2646792020440807,-0.5990615016536633,2025,"single season, layout change not detectable"
Miami Grand Prix,5320.0,VER,86.204,6,0.2896931078008236,0.22443540932903155,0.748542210561612,0.72018779342723,0.24342105263157895,0.6475563909774437,4,0.5667293233082706,3,0.45770676691729323,2,8,0.12394366197183099,0.0016471861716788796,0.014450378776692802,14,4,1.029631100813667,-1.2955587259899997,1.029631100813667,-0.15320687722613252,-0.16410796149291668,2025,"single season, layout change not detectable"
Emilia Romagna Grand Prix,4825.0,PIA,74.67,7,0.45000043841739523,0.33430362573819833,0.773382128701254,0.7308488612836439,0.15647668393782382,0.7015544041450777,7,0.37927461139896373,3,0.15647668393782382,1,7,0.10973084886128365,0.0009997927495723103,0.01328188301065232,12,1,-0.49349207213998425,0.5044815630690574,-0.49349207213998425,-0.6229173028709445,-0.502986115570238,2025,"single season, layout change not detectable"
Monaco Grand Prix,3225.0,NOR,69.954,10,0.31426329940264,0.2313978589474077,0.6773965212920093,0.5232198142414861,0.15813953488372093,0.2744186046511628,2,0.15813953488372093,1,0.0,0,10,0.2043343653250774,0.004384727712469235,0.026281484911191807,12,2,-1.7022216577447873,-1.019667819298063,-1.7022216577447873,2.503575506123241,3.267058435572999,2025,"single season, layout change not detectable"
Spanish Grand Prix,4600.0,PIA,71.546,6,0.4483836969603755,0.3541439282497031,0.7581732983441402,0.6872964169381107,0.14782608695652175,0.532608695652174,5,0.28369565217391307,2,0.0,0,6,0.11074918566775244,0.003010214404584723,0.015596750406872363,6,3,-1.0687904190669195,0.48632768483757305,-1.0687904190669195,-0.5892629227636547,0.16835392087936482,2025,"single season, layout change not detectable"
Canadian Grand Prix,4295.0,RUS,70.899,6,0.36392527351728465,0.23095686117865874,0.7329240868878761,0.7604651162790698,0.2351571594877765,0.6763678696158324,5,0.4970896391152503,3,0.2351571594877765,1,7,0.13604651162790699,0.0011175639605982969,0.013590893198681805,11,4,0.5993997106373584,-0.46202922662270457,0.5993997106373584,0.2467726777890462,-0.4133693577232182,2025,"single season, layout change not detectable"
