feature,mean,std,role,weight
corner_speed_median,0.40507250363036285,0.0890576347601474,feature,1.0
straight_blend,-2.413528314402514e-17,1.0,feature,1.0
braking_share,0.12857949842420768,0.030258670735349734,feature,1.0
curvature_p90,0.015016244282836506,0.0034481295178852614,feature,1.0
sustained_500,0.428634910613339,0.1537605219274186,straight_blend component,0.75
longest_flat_out,0.19575249904229833,0.05004047204147848,straight_blend component,0.25
straight_blend,-9.895466089050308e-17,0.8854969350935322,blend restandardised,1.0
