session,Race,Round,Team,is_target,speed_trap_median,n_laps,speed_trap_z
quali,Chinese Grand Prix,2,Ferrari,False,259.0,39,-1.2341419429259641
quali,Chinese Grand Prix,2,Haas F1 Team,False,269.0,33,-0.341012905282174
quali,Chinese Grand Prix,2,McLaren,False,288.0,40,1.3559322662410274
quali,Chinese Grand Prix,2,Mercedes,False,279.5,28,0.5967725842438057
quali,Chinese Grand Prix,2,Racing Bulls,False,260.5,30,-1.1001725872793957
quali,Chinese Grand Prix,2,Red Bull Racing,False,273.5,40,0.06089516165753161
quali,Chinese Grand Prix,2,Williams,False,269.0,20,-0.341012905282174
quali,Dutch Grand Prix,12,Alpine,False,275.0,25,1.1021537148588547
quali,Dutch Grand Prix,12,Aston Martin,False,247.0,18,-1.6465373311049236
quali,Dutch Grand Prix,12,Audi,False,252.0,39,-1.1556996443256775
quali,Dutch Grand Prix,12,Cadillac,False,266.0,18,0.21864587865621166
quali,Dutch Grand Prix,12,Ferrari,False,250.0,46,-1.3520347190373758
quali,Dutch Grand Prix,12,Haas F1 Team,False,261.5,26,-0.22310803944510985
quali,Dutch Grand Prix,12,McLaren,False,262.0,40,-0.17402427076718524
quali,Dutch Grand Prix,12,Mercedes,False,269.0,39,0.5131484907237593
quali,Dutch Grand Prix,12,Racing Bulls,False,274.0,35,1.0039861775030055
quali,Dutch Grand Prix,12,Red Bull Racing,False,274.0,45,1.0039861775030055
quali,Dutch Grand Prix,12,Williams,False,271.0,24,0.7094835654354578
quali,Hungarian Grand Prix,11,Alpine,False,291.0,22,0.6417699947989888
quali,Hungarian Grand Prix,11,Aston Martin,False,279.0,21,0.0862707206123235
quali,Hungarian Grand Prix,11,Audi,False,296.5,26,0.8963738288012104
quali,Hungarian Grand Prix,11,Cadillac,False,300.0,17,1.0583944504389877
quali,Hungarian Grand Prix,11,Ferrari,False,290.0,33,0.5954783886167667
quali,Hungarian Grand Prix,11,Haas F1 Team,False,293.5,16,0.7574990102545441
quali,Hungarian Grand Prix,11,McLaren,False,258.0,29,-0.8858530092143408
quali,Hungarian Grand Prix,11,Mercedes,False,286.0,37,0.4103119638878783
quali,Hungarian Grand Prix,11,Racing Bulls,False,252.5,28,-1.1404568432165625
quali,Hungarian Grand Prix,11,Red Bull Racing,False,232.0,30,-2.0894347699521156
quali,Hungarian Grand Prix,11,Williams,False,270.0,16,-0.3303537350276755
quali,Italian Grand Prix,13,Alpine,True,202.5,36,-0.8974823388387068
quali,Italian Grand Prix,13,Aston Martin,True,200.0,15,-1.0031815436269913
quali,Italian Grand Prix,13,Audi,True,188.0,24,-1.5105377266107571
quali,Italian Grand Prix,13,Cadillac,True,216.5,18,-0.3055667920243132
quali,Italian Grand Prix,13,Ferrari,True,215.0,33,-0.36898631489728395
quali,Italian Grand Prix,13,Haas F1 Team,True,220.0,30,-0.15758790532071482
quali,Italian Grand Prix,13,McLaren,True,258.0,37,1.4490400074612104
quali,Italian Grand Prix,13,Mercedes,True,255.0,35,1.322200961715269
quali,Italian Grand Prix,13,Racing Bulls,True,215.5,24,-0.34784647393962703
quali,Italian Grand Prix,13,Red Bull Racing,True,242.5,34,0.7937049377738462
quali,Italian Grand Prix,13,Williams,True,248.0,21,1.0262431883080723
quali,Japanese Grand Prix,3,Alpine,False,258.0,30,0.27348037017036314
quali,Japanese Grand Prix,3,Aston Martin,False,248.0,18,-0.5507070467814175
quali,Japanese Grand Prix,3,Audi,False,229.0,34,-2.1166631389898005
quali,Japanese Grand Prix,3,Cadillac,False,263.0,15,0.6855740786462534
quali,Japanese Grand Prix,3,Ferrari,False,257.5,38,0.2322709993227741
quali,Japanese Grand Prix,3,Haas F1 Team,False,250.5,24,-0.3446601925434723
quali,Japanese Grand Prix,3,McLaren,False,238.5,40,-1.333685092885609
quali,Japanese Grand Prix,3,Mercedes,False,265.0,36,0.8504115620366095
quali,Japanese Grand Prix,3,Racing Bulls,False,259.5,36,0.3971084827131302
quali,Japanese Grand Prix,3,Red Bull Racing,False,265.0,29,0.8504115620366095
quali,Japanese Grand Prix,3,Williams,False,267.5,24,1.0564584162745547
quali,Miami Grand Prix,4,Alpine,False,258.0,39,0.2159838852118682
quali,Miami Grand Prix,4,Aston Martin,False,216.0,17,-2.409925456048204
quali,Miami Grand Prix,4,Audi,False,262.5,16,0.4973313146325902
quali,Miami Grand Prix,4,Cadillac,False,246.5,18,-0.5030151010855325
quali,Miami Grand Prix,4,Ferrari,False,245.5,42,-0.5655367520679152
quali,Miami Grand Prix,4,Haas F1 Team,False,267.0,27,0.7786787440533123
quali,Miami Grand Prix,4,McLaren,False,268.5,40,0.8724612205268862
quali,Miami Grand Prix,4,Mercedes,False,275.0,35,1.2788519519123736
quali,Miami Grand Prix,4,Racing Bulls,False,248.0,23,-0.4092326246119585
quali,Miami Grand Prix,4,Red Bull Racing,False,252.5,36,-0.12788519519123648
quali,Miami Grand Prix,4,Williams,False,260.5,30,0.3722880126678249
quali,Monaco Grand Prix,6,Alpine,False,277.0,54,0.9587550088158837
quali,Monaco Grand Prix,6,Aston Martin,False,260.0,23,-1.5664166341217316
quali,Monaco Grand Prix,6,Audi,False,281.0,31,1.5529130424482638
quali,Monaco Grand Prix,6,Cadillac,False,278.0,23,1.1072945172239788
quali,Monaco Grand Prix,6,Ferrari,False,264.0,57,-0.9722586004893515
quali,Monaco Grand Prix,6,Haas F1 Team,False,264.0,28,-0.9722586004893515
quali,Monaco Grand Prix,6,McLaren,False,273.5,56,0.43886672938755117
quali,Monaco Grand Prix,6,Mercedes,False,272.0,55,0.21605746677540863
quali,Monaco Grand Prix,6,Racing Bulls,False,264.5,50,-0.8979888462853041
quali,Monaco Grand Prix,6,Red Bull Racing,False,270.0,51,-0.0810215500407814
quali,Monaco Grand Prix,6,Williams,False,272.0,46,0.21605746677540863
race,Australian Grand Prix,1,Alpine,False,264.5,10,-0.6075367422825296
race,Australian Grand Prix,1,Aston Martin,False,261.0,10,-1.1216062934446713
race,Australian Grand Prix,1,Audi,False,276.0,5,1.0815489258216502
race,Australian Grand Prix,1,Cadillac,False,263.5,10,-0.7544137569002843
race,Australian Grand Prix,1,Ferrari,False,273.0,10,0.640917881968386
race,Australian Grand Prix,1,Haas F1 Team,False,265.0,10,-0.5340982349736522
race,Australian Grand Prix,1,McLaren,False,273.0,5,0.640917881968386
race,Australian Grand Prix,1,Mercedes,False,272.5,10,0.5674793746595086
race,Australian Grand Prix,1,Racing Bulls,False,263.0,10,-0.8278522642091617
race,Australian Grand Prix,1,Red Bull Racing,False,281.5,10,1.8893725062193014
race,Australian Grand Prix,1,Williams,False,262.0,10,-0.9747292788269165
race,Austrian Grand Prix,8,Alpine,False,303.0,10,0.7127246946361895
race,Austrian Grand Prix,8,Aston Martin,False,281.0,10,-2.1381740839085683
race,Austrian Grand Prix,8,Audi,False,297.0,10,-0.06479315405783541
race,Austrian Grand Prix,8,Cadillac,False,288.0,6,-1.2310699270988728
race,Austrian Grand Prix,8,Ferrari,False,296.0,10,-0.1943794621735062
race,Austrian Grand Prix,8,Haas F1 Team,False,298.5,10,0.12958630811567082
race,Austrian Grand Prix,8,McLaren,False,309.0,10,1.4902425433302144
race,Austrian Grand Prix,8,Mercedes,False,296.0,10,-0.1943794621735062
race,Austrian Grand Prix,8,Racing Bulls,False,299.0,10,0.1943794621735062
race,Austrian Grand Prix,8,Red Bull Racing,False,300.0,10,0.32396577028917706
race,Austrian Grand Prix,8,Williams,False,305.0,10,0.9718973108675312
race,Barcelona Grand Prix,7,Alpine,False,346.0,10,0.9325507795390283
race,Barcelona Grand Prix,7,Aston Martin,False,329.0,10,-1.1434848844347638
race,Barcelona Grand Prix,7,Audi,False,349.0,10,1.2989100143579329
race,Barcelona Grand Prix,7,Cadillac,False,345.0,10,0.8104310345993935
race,Barcelona Grand Prix,7,Ferrari,False,324.0,10,-1.754083609132938
race,Barcelona Grand Prix,7,Haas F1 Team,False,347.5,10,1.1157303969484806
race,Barcelona Grand Prix,7,McLaren,False,337.0,10,-0.16652692491768512
race,Barcelona Grand Prix,7,Mercedes,False,330.5,10,-0.9603052670253115
race,Barcelona Grand Prix,7,Racing Bulls,False,336.5,10,-0.22758679738750254
race,Barcelona Grand Prix,7,Red Bull Racing,False,336.5,10,-0.22758679738750254
race,Barcelona Grand Prix,7,Williams,False,341.0,10,0.3219520548408542
race,Belgian Grand Prix,10,Alpine,False,263.5,10,0.10879196809004371
race,Belgian Grand Prix,10,Aston Martin,False,266.5,10,0.2227645060891367
race,Belgian Grand Prix,10,Audi,False,266.5,10,0.2227645060891367
race,Belgian Grand Prix,10,Cadillac,False,268.5,10,0.29874619808853203
race,Belgian Grand Prix,10,Ferrari,False,265.5,10,0.18477366008943905
race,Belgian Grand Prix,10,Haas F1 Team,False,273.5,10,0.48870042808702036
race,Belgian Grand Prix,10,McLaren,False,258.5,10,-0.08116226190844462
race,Belgian Grand Prix,10,Mercedes,False,186.0,5,-2.8354985968865254
race,Belgian Grand Prix,10,Racing Bulls,False,292.0,10,1.191531079081427
race,Belgian Grand Prix,10,Red Bull Racing,False,267.0,10,0.24175992908898553
race,Belgian Grand Prix,10,Williams,False,259.5,10,-0.04317141590874696
race,British Grand Prix,9,Alpine,False,335.0,10,2.6376587955137993
race,British Grand Prix,9,Aston Martin,False,299.5,10,-0.7119534309842144
race,British Grand Prix,9,Audi,False,308.0,10,0.09006639789559173
race,British Grand Prix,9,Cadillac,False,304.5,10,-0.24017706105491665
race,British Grand Prix,9,Ferrari,False,302.5,10,-0.4288876090266357
race,British Grand Prix,9,Haas F1 Team,False,308.0,10,0.09006639789559173
race,British Grand Prix,9,McLaren,False,301.0,10,-0.570420520005425
race,British Grand Prix,9,Mercedes,False,310.5,10,0.3259545828602406
race,British Grand Prix,9,Racing Bulls,False,302.0,10,-0.4760652460195655
race,British Grand Prix,9,Red Bull Racing,False,312.0,10,0.4674874938390299
race,British Grand Prix,9,Williams,False,294.5,10,-1.183729800913512
race,Canadian Grand Prix,5,Alpine,False,312.0,10,0.14299285896971053
race,Canadian Grand Prix,5,Aston Martin,False,312.5,10,0.24130044951138374
race,Canadian Grand Prix,5,Audi,False,303.0,10,-1.6265437707804071
race,Canadian Grand Prix,5,Cadillac,False,306.5,10,-0.9383906369886946
race,Canadian Grand Prix,5,Ferrari,False,322.0,10,2.1091446698031744
race,Canadian Grand Prix,5,Haas F1 Team,False,312.5,10,0.24130044951138374
race,Canadian Grand Prix,5,McLaren,False,306.5,10,-0.9383906369886946
race,Canadian Grand Prix,5,Mercedes,False,311.5,10,0.044685268428037335
race,Canadian Grand Prix,5,Racing Bulls,False,313.0,5,0.33960804005305695
race,Canadian Grand Prix,5,Red Bull Racing,False,315.5,10,0.831145992761423
