Season,Race,race_laps,median_stops,modal_stops,max_stops,n_finishers,pit_loss
2022,Abu Dhabi Grand Prix,58,2.0,2,2,19,24.068000000000012
2022,Australian Grand Prix,58,1.0,1,2,17,24.168000000000006
2022,Austrian Grand Prix,71,2.0,2,3,7,21.242999999999995
2022,Azerbaijan Grand Prix,51,1.0,1,2,16,44.533
2022,Bahrain Grand Prix,57,3.0,3,3,19,24.72399999999999
2022,Belgian Grand Prix,44,2.0,2,2,18,18.799999999999997
2022,British Grand Prix,52,2.0,2,3,14,48.20200000000001
2022,Canadian Grand Prix,70,2.0,2,2,17,37.245000000000005
2022,Dutch Grand Prix,72,3.0,3,4,18,23.285499999999985
2022,French Grand Prix,53,1.0,1,2,16,29.164
2022,Hungarian Grand Prix,70,2.0,2,3,20,23.776500000000013
2022,Italian Grand Prix,53,2.0,1,3,17,25.79649999999998
2022,Mexico City Grand Prix,71,1.0,1,2,19,23.260999999999967
2022,Miami Grand Prix,57,1.0,1,2,17,22.774500000000003
2022,Saudi Arabian Grand Prix,50,1.0,1,2,14,39.303
2022,Spanish Grand Prix,66,3.0,3,4,18,22.796499999999995
2022,São Paulo Grand Prix,71,2.0,2,3,17,22.57499999999999
2022,United States Grand Prix,56,2.0,2,2,17,21.913999999999987
2023,Abu Dhabi Grand Prix,58,2.0,2,2,20,22.787999999999982
2023,Australian Grand Prix,58,1.0,1,2,17,20.924999999999983
2023,Austrian Grand Prix,71,2.0,2,3,19,27.345500000000015
2023,Azerbaijan Grand Prix,51,1.0,1,3,18,23.200000000000017
2023,Bahrain Grand Prix,57,2.0,2,5,17,26.50999999999999
2023,Belgian Grand Prix,44,2.0,2,3,18,19.211000000000013
2023,British Grand Prix,52,1.0,1,2,18,20.63600000000001
2023,Canadian Grand Prix,70,2.0,2,2,17,20.311999999999983
2023,Hungarian Grand Prix,70,2.0,2,2,18,21.939499999999995
2023,Italian Grand Prix,51,1.0,1,2,18,25.454999999999984
2023,Japanese Grand Prix,53,2.0,2,3,15,23.400000000000006
2023,Las Vegas Grand Prix,50,1.0,1,2,19,25.659999999999982
2023,Mexico City Grand Prix,71,2.0,2,2,17,23.206999999999994
2023,Miami Grand Prix,57,1.0,1,1,20,20.7115
2023,Qatar Grand Prix,57,3.0,3,3,17,29.412000000000006
2023,Saudi Arabian Grand Prix,50,1.0,1,3,18,23.267999999999986
2023,Singapore Grand Prix,62,1.0,1,2,17,31.048000000000002
2023,Spanish Grand Prix,66,2.0,2,3,20,24.03400000000002
2023,São Paulo Grand Prix,71,2.0,2,3,14,22.730000000000018
2023,United States Grand Prix,56,2.0,2,2,18,21.062999999999988
2024,Abu Dhabi Grand Prix,58,1.0,1,2,17,24.781999999999982
2024,Australian Grand Prix,58,2.0,2,3,17,20.908999999999992
2024,Austrian Grand Prix,71,2.0,2,3,20,21.367999999999995
2024,Azerbaijan Grand Prix,51,1.0,1,1,19,22.610000000000014
2024,Bahrain Grand Prix,57,2.0,2,3,20,24.99200000000002
2024,Belgian Grand Prix,44,2.0,2,2,19,19.956000000000003
2024,Chinese Grand Prix,56,2.0,2,4,17,25.509000000000015
2024,Dutch Grand Prix,72,1.0,1,2,20,23.954499999999996
2024,Emilia Romagna Grand Prix,63,1.0,1,2,19,27.950999999999993
2024,Hungarian Grand Prix,70,2.0,2,3,19,20.468000000000018
2024,Italian Grand Prix,53,2.0,2,2,19,26.805999999999997
2024,Japanese Grand Prix,53,2.0,2,3,17,22.75
2024,Las Vegas Grand Prix,50,2.0,2,2,18,23.23400000000001
2024,Mexico City Grand Prix,71,1.0,1,2,17,24.30200000000002
2024,Miami Grand Prix,57,1.0,1,2,19,24.10600000000001
2024,Monaco Grand Prix,78,0.0,0,2,16,20.180999999999983
2024,Qatar Grand Prix,57,1.0,1,2,15,29.278000000000006
2024,Saudi Arabian Grand Prix,50,1.0,1,2,18,20.22399999999999
2024,Singapore Grand Prix,62,1.0,1,2,19,30.290999999999997
2024,Spanish Grand Prix,66,2.0,2,3,20,22.742000000000004
2024,United States Grand Prix,56,1.0,1,2,19,22.019499999999994
2025,Abu Dhabi Grand Prix,58,1.0,1,2,20,22.78000000000003
2025,Austrian Grand Prix,70,2.0,2,3,16,21.699500000000015
2025,Azerbaijan Grand Prix,51,1.0,1,1,19,21.253000000000014
2025,Bahrain Grand Prix,57,2.0,2,3,19,23.880999999999986
2025,Canadian Grand Prix,70,1.5,1,2,18,20.956999999999994
2025,Chinese Grand Prix,56,1.0,1,3,19,24.329000000000008
2025,Dutch Grand Prix,72,2.0,2,4,18,44.62999999999997
2025,Emilia Romagna Grand Prix,63,2.0,2,3,18,29.767000000000024
2025,Hungarian Grand Prix,70,1.0,1,2,19,20.858000000000004
2025,Italian Grand Prix,53,1.0,1,1,18,24.564999999999998
2025,Japanese Grand Prix,53,1.0,1,2,20,24.46799999999999
2025,Las Vegas Grand Prix,50,1.0,1,1,17,23.53749999999998
2025,Mexico City Grand Prix,71,1.0,1,3,17,22.810500000000005
2025,Miami Grand Prix,57,1.0,1,1,3,21.90700000000001
2025,Monaco Grand Prix,78,2.0,2,2,18,19.079999999999984
2025,Qatar Grand Prix,57,2.0,2,3,18,26.247499999999988
2025,Saudi Arabian Grand Prix,50,1.0,1,1,18,21.17999999999998
2025,Singapore Grand Prix,62,1.0,1,2,20,23.30600000000001
2025,Spanish Grand Prix,66,3.0,3,4,18,23.040999999999997
2025,São Paulo Grand Prix,71,2.0,2,3,17,23.042
2025,United States Grand Prix,56,1.0,1,2,19,20.87600000000002
