Season,Race,deg_pct,n_stints,base_lap,season_median,race_mult,weight
2022,Bahrain Grand Prix,0.16023032672500503,40,99.3275,0.057217507836597174,2.8003723472646485,0.7071067811865476
2022,Saudi Arabian Grand Prix,-0.0357032222158049,29,95.2295,0.057217507836597174,-0.6239912146779764,0.7071067811865476
2022,Australian Grand Prix,-0.010505445075757479,31,84.48,0.057217507836597174,-0.1836054290543224,0.7071067811865476
2022,Miami Grand Prix,-0.008295021581114118,29,94.836,0.057217507836597174,-0.1449734861714564,0.7071067811865476
2022,Spanish Grand Prix,0.13262481231231313,51,88.8,0.057217507836597174,2.317906132700948,0.7071067811865476
2022,Azerbaijan Grand Prix,0.01753463842668174,28,109.6725,0.057217507836597174,0.30645582252127246,0.7071067811865476
2022,Canadian Grand Prix,0.057217507836597174,42,78.826,0.057217507836597174,1.0,0.7071067811865476
2022,British Grand Prix,-0.00956144824069137,23,94.128,0.057217507836597174,-0.16710703772693372,0.7071067811865476
2022,French Grand Prix,0.05267964568745475,35,99.76849999999999,0.057217507836597174,0.9206910206207908,0.7071067811865476
2022,Hungarian Grand Prix,0.10600080443653531,52,84.768,0.057217507836597174,1.8525938728274287,0.7071067811865476
2022,Belgian Grand Prix,0.10271366979457253,28,114.347,0.057217507836597174,1.7951440682789634,0.7071067811865476
2022,Dutch Grand Prix,0.08566871428582727,50,76.926,0.057217507836597174,1.497246516406859,0.7071067811865476
2022,Italian Grand Prix,0.031353116385062434,31,87.179,0.057217507836597174,0.5479636840283441,0.7071067811865476
2022,United States Grand Prix,0.027379602438480588,33,103.179,0.057217507836597174,0.47851791302535873,0.7071067811865476
2022,Mexico City Grand Prix,0.057744968870288134,42,84.15,0.057217507836597174,1.0092185251269121,0.7071067811865476
2022,São Paulo Grand Prix,0.1029992896386583,51,76.688,0.057217507836597174,1.8001358942931522,0.7071067811865476
2022,Abu Dhabi Grand Prix,0.08495761705981991,48,91.271,0.057217507836597174,1.4848185506863294,0.7071067811865476
2023,Bahrain Grand Prix,0.0935767685500698,41,98.315,0.0628579715831614,1.4887016903857178,1.0
2023,Saudi Arabian Grand Prix,-0.03501103288851522,33,95.17,0.0628579715831614,-0.5569863615817677,1.0
2023,Australian Grand Prix,-0.01554625215870231,18,82.5925,0.0628579715831614,-0.24732347810706143,1.0
2023,Azerbaijan Grand Prix,-0.016062818241903823,20,107.155,0.0628579715831614,-0.2555414665370268,1.0
2023,Miami Grand Prix,0.011703543093677962,36,92.768,0.0628579715831614,0.18619027625150322,1.0
2023,Spanish Grand Prix,0.06586535434847987,55,80.178,0.0628579715831614,1.047844095022056,1.0
2023,Canadian Grand Prix,0.05985058881784294,35,77.415,0.0628579715831614,0.9521559049779441,1.0
2023,Austrian Grand Prix,0.10069873975281603,43,70.4625,0.0628579715831614,1.6020042838892932,1.0
2023,British Grand Prix,0.004456317728676888,38,93.0995,0.0628579715831614,0.07089502916557143,1.0
2023,Hungarian Grand Prix,0.07797950894783927,47,84.5735,0.0628579715831614,1.2405667409211891,1.0
2023,Belgian Grand Prix,0.09864643786604327,33,112.7765,0.0628579715831614,1.569354457064106,1.0
2023,Italian Grand Prix,0.07117531503042507,38,86.9625,0.0628579715831614,1.1323196284859396,1.0
2023,Singapore Grand Prix,0.0211504110401659,39,100.413,0.0628579715831614,0.33647937576515335,1.0
2023,Japanese Grand Prix,0.08554377778904841,28,98.585,0.0628579715831614,1.3609057949932981,1.0
