Race,Compound,k,W,m,cliff_lap,source,note
Singapore Grand Prix,SOFT,0.02634,0.2,1.5,7.6,derived:MEDIUM,MEDIUM k x 0.613
Singapore Grand Prix,MEDIUM,0.043,2.5,2.25,58.1,measured,
Singapore Grand Prix,HARD,0.057,0.2,1.0,3.5,measured,
Spanish Grand Prix,SOFT,0.048,0.2,1.5,4.2,measured,
Spanish Grand Prix,MEDIUM,0.057,2.5,2.25,43.9,measured,
Spanish Grand Prix,HARD,0.065,0.2,1.0,3.1,measured,
São Paulo Grand Prix,SOFT,0.03,0.2,1.5,6.7,measured,
São Paulo Grand Prix,MEDIUM,0.048,2.5,2.25,52.1,measured,
São Paulo Grand Prix,HARD,0.086,0.2,1.0,2.3,measured,
United States Grand Prix,SOFT,0.024,0.2,1.5,8.3,measured,
United States Grand Prix,MEDIUM,0.021,2.5,2.25,119.0,measured,
United States Grand Prix,HARD,0.036,0.2,1.0,5.6,measured,
