n_stops,strategy,sequence,stint_laps,est_cost,est_cost_curve,within_windows,cost_vs_best,cost_vs_best_curve,Race
2,M-S-S,MEDIUM-SOFT-SOFT,27-15-15,58.5,67.7,True,22.8,19.3,Miami Grand Prix
2,M-S-M,MEDIUM-SOFT-MEDIUM,22-12-22,56.1,63.8,True,20.4,15.4,Miami Grand Prix
2,M-S-H,MEDIUM-SOFT-HARD,18-10-29,55.5,63.9,True,19.8,15.5,Miami Grand Prix
2,M-M-S,MEDIUM-MEDIUM-SOFT,22-22-12,56.1,63.8,True,20.4,15.4,Miami Grand Prix
2,M-M-H,MEDIUM-MEDIUM-HARD,16-16-26,53.3,61.4,True,17.6,13.0,Miami Grand Prix
2,M-H-S,MEDIUM-HARD-SOFT,18-29-10,55.5,63.9,True,19.8,15.5,Miami Grand Prix
2,M-H-M,MEDIUM-HARD-MEDIUM,16-26-16,53.3,61.4,True,17.6,13.0,Miami Grand Prix
2,M-H-H,MEDIUM-HARD-HARD,13-22-22,52.3,59.3,True,16.6,10.9,Miami Grand Prix
2,H-S-S,HARD-SOFT-SOFT,34-11-11,58.2,67.7,True,22.5,19.3,Miami Grand Prix
2,H-S-M,HARD-SOFT-MEDIUM,29-10-18,55.5,63.9,True,19.8,15.5,Miami Grand Prix
2,H-S-H,HARD-SOFT-HARD,24-8-24,54.1,61.5,True,18.4,13.1,Miami Grand Prix
2,H-M-S,HARD-MEDIUM-SOFT,29-18-10,55.5,63.9,True,19.8,15.5,Miami Grand Prix
2,H-M-M,HARD-MEDIUM-MEDIUM,26-16-16,53.3,61.4,True,17.6,13.0,Miami Grand Prix
2,H-M-H,HARD-MEDIUM-HARD,22-13-22,52.3,59.3,True,16.6,10.9,Miami Grand Prix
2,H-H-S,HARD-HARD-SOFT,24-24-8,54.1,61.5,True,18.4,13.1,Miami Grand Prix
2,H-H-M,HARD-HARD-MEDIUM,22-22-13,52.3,59.3,True,16.6,10.9,Miami Grand Prix
1,S-M,SOFT-MEDIUM,26-52,78.5,44.4,True,27.8,35.5,Monaco Grand Prix
1,S-H,SOFT-HARD,19-59,67.3,20.4,True,16.6,11.5,Monaco Grand Prix
1,M-S,MEDIUM-SOFT,52-26,78.5,44.4,True,27.8,35.5,Monaco Grand Prix
1,M-H,MEDIUM-HARD,31-47,50.7,8.9,True,0.0,0.0,Monaco Grand Prix
1,H-S,HARD-SOFT,59-19,67.3,20.4,True,16.6,11.5,Monaco Grand Prix
1,H-M,HARD-MEDIUM,47-31,50.7,8.9,True,0.0,0.0,Monaco Grand Prix
2,S-S-M,SOFT-SOFT-MEDIUM,19-19-39,90.3,67.7,True,39.6,58.8,Monaco Grand Prix
2,S-S-H,SOFT-SOFT-HARD,16-16-47,80.7,49.6,True,30.0,40.7,Monaco Grand Prix
2,S-M-S,SOFT-MEDIUM-SOFT,19-39-19,90.3,67.7,True,39.6,58.8,Monaco Grand Prix
2,S-M-M,SOFT-MEDIUM-MEDIUM,15-31-31,76.3,49.3,True,25.6,40.4,Monaco Grand Prix
2,S-M-H,SOFT-MEDIUM-HARD,13-26-39,68.3,38.4,True,17.6,29.5,Monaco Grand Prix
2,S-H-S,SOFT-HARD-SOFT,16-47-16,80.7,49.6,True,30.0,40.7,Monaco Grand Prix
2,S-H-M,SOFT-HARD-MEDIUM,13-39-26,68.3,38.4,True,17.6,29.5,Monaco Grand Prix
2,S-H-H,SOFT-HARD-HARD,11-33-33,60.9,30.5,True,10.2,21.6,Monaco Grand Prix
2,M-S-S,MEDIUM-SOFT-SOFT,39-19-19,90.3,67.7,True,39.6,58.8,Monaco Grand Prix
2,M-S-M,MEDIUM-SOFT-MEDIUM,31-15-31,76.3,49.3,True,25.6,40.4,Monaco Grand Prix
2,M-S-H,MEDIUM-SOFT-HARD,26-13-39,68.3,38.4,True,17.6,29.5,Monaco Grand Prix
2,M-M-S,MEDIUM-MEDIUM-SOFT,31-31-15,76.3,49.3,True,25.6,40.4,Monaco Grand Prix
2,M-M-H,MEDIUM-MEDIUM-HARD,22-22-33,59.1,31.6,True,8.4,22.7,Monaco Grand Prix
2,M-H-S,MEDIUM-HARD-SOFT,26-39-13,68.3,38.4,True,17.6,29.5,Monaco Grand Prix
2,M-H-M,MEDIUM-HARD-MEDIUM,22-33-22,59.1,31.6,True,8.4,22.7,Monaco Grand Prix
2,M-H-H,MEDIUM-HARD-HARD,20-29-29,53.1,25.9,True,2.4,17.0,Monaco Grand Prix
2,H-S-S,HARD-SOFT-SOFT,47-16-16,80.7,49.6,True,30.0,40.7,Monaco Grand Prix
2,H-S-M,HARD-SOFT-MEDIUM,39-13-26,68.3,38.4,True,17.6,29.5,Monaco Grand Prix
2,H-S-H,HARD-SOFT-HARD,33-11-33,60.9,30.5,True,10.2,21.6,Monaco Grand Prix
2,H-M-S,HARD-MEDIUM-SOFT,39-26-13,68.3,38.4,True,17.6,29.5,Monaco Grand Prix
2,H-M-M,HARD-MEDIUM-MEDIUM,33-22-22,59.1,31.6,True,8.4,22.7,Monaco Grand Prix
2,H-M-H,HARD-MEDIUM-HARD,29-20-29,53.1,25.9,True,2.4,17.0,Monaco Grand Prix
2,H-H-S,HARD-HARD-SOFT,33-33-11,60.9,30.5,True,10.2,21.6,Monaco Grand Prix
2,H-H-M,HARD-HARD-MEDIUM,29-29-20,53.1,25.9,True,2.4,17.0,Monaco Grand Prix
1,S-M,SOFT-MEDIUM,22-35,31.5,48.5,False,2.8,13.2,Qatar Grand Prix
1,S-H,SOFT-HARD,24-33,32.5,48.8,False,3.8,13.5,Qatar Grand Prix
1,M-S,MEDIUM-SOFT,35-22,31.5,48.5,False,2.8,13.2,Qatar Grand Prix
1,M-H,MEDIUM-HARD,30-27,28.7,35.3,False,0.0,0.0,Qatar Grand Prix
1,H-S,HARD-SOFT,33-24,32.5,48.8,False,3.8,13.5,Qatar Grand Prix
1,H-M,HARD-MEDIUM,27-30,28.7,35.3,False,0.0,0.0,Qatar Grand Prix
2,S-S-M,SOFT-SOFT-MEDIUM,16-16-25,62.7,73.2,True,34.0,37.9,Qatar Grand Prix
2,S-S-H,SOFT-SOFT-HARD,17-17-23,63.5,73.8,True,34.8,38.5,Qatar Grand Prix
2,S-M-S,SOFT-MEDIUM-SOFT,16-25-16,62.7,73.2,True,34.0,37.9,Qatar Grand Prix
2,S-M-M,SOFT-MEDIUM-MEDIUM,14-22-22,59.9,66.6,True,31.2,31.3,Qatar Grand Prix
2,S-M-H,SOFT-MEDIUM-HARD,14-23-20,60.5,66.2,True,31.8,30.9,Qatar Grand Prix
2,S-H-S,SOFT-HARD-SOFT,17-23-17,63.5,73.8,True,34.8,38.5,Qatar Grand Prix
2,S-H-M,SOFT-HARD-MEDIUM,14-20-23,60.5,66.2,True,31.8,30.9,Qatar Grand Prix
2,S-H-H,SOFT-HARD-HARD,15-21-21,61.0,66.0,True,32.3,30.7,Qatar Grand Prix
2,M-S-S,MEDIUM-SOFT-SOFT,25-16-16,62.7,73.2,True,34.0,37.9,Qatar Grand Prix
2,M-S-M,MEDIUM-SOFT-MEDIUM,22-14-22,59.9,66.6,True,31.2,31.3,Qatar Grand Prix
2,M-S-H,MEDIUM-SOFT-HARD,23-14-20,60.5,66.2,True,31.8,30.9,Qatar Grand Prix
2,M-M-S,MEDIUM-MEDIUM-SOFT,22-22-14,59.9,66.6,True,31.2,31.3,Qatar Grand Prix
2,M-M-H,MEDIUM-MEDIUM-HARD,20-20-17,58.2,62.1,True,29.5,26.8,Qatar Grand Prix
2,M-H-S,MEDIUM-HARD-SOFT,23-20-14,60.5,66.2,True,31.8,30.9,Qatar Grand Prix
2,M-H-M,MEDIUM-HARD-MEDIUM,20-17-20,58.2,62.1,True,29.5,26.8,Qatar Grand Prix
2,M-H-H,MEDIUM-HARD-HARD,21-18-18,58.6,61.9,True,29.9,26.6,Qatar Grand Prix
2,H-S-S,HARD-SOFT-SOFT,23-17-17,63.5,73.8,True,34.8,38.5,Qatar Grand Prix
2,H-S-M,HARD-SOFT-MEDIUM,20-14-23,60.5,66.2,True,31.8,30.9,Qatar Grand Prix
2,H-S-H,HARD-SOFT-HARD,21-15-21,61.0,66.0,True,32.3,30.7,Qatar Grand Prix
2,H-M-S,HARD-MEDIUM-SOFT,20-23-14,60.5,66.2,True,31.8,30.9,Qatar Grand Prix
2,H-M-M,HARD-MEDIUM-MEDIUM,17-20-20,58.2,62.1,True,29.5,26.8,Qatar Grand Prix
2,H-M-H,HARD-MEDIUM-HARD,18-21-18,58.6,61.9,True,29.9,26.6,Qatar Grand Prix
2,H-H-S,HARD-HARD-SOFT,21-21-15,61.0,66.0,True,32.3,30.7,Qatar Grand Prix
2,H-H-M,HARD-HARD-MEDIUM,18-18-21,58.6,61.9,True,29.9,26.6,Qatar Grand Prix
3,S-S-S-M,SOFT-SOFT-SOFT-MEDIUM,12-12-12-20,93.0,99.0,True,64.3,63.7,Qatar Grand Prix
3,S-S-S-H,SOFT-SOFT-SOFT-HARD,13-13-13-18,93.7,100.0,True,65.0,64.7,Qatar Grand Prix
3,S-S-M-S,SOFT-SOFT-MEDIUM-SOFT,12-12-20-12,93.0,99.0,True,64.3,63.7,Qatar Grand Prix
3,S-S-M-M,SOFT-SOFT-MEDIUM-MEDIUM,11-11-17-17,90.7,95.0,True,62.0,59.7,Qatar Grand Prix
3,S-S-M-H,SOFT-SOFT-MEDIUM-HARD,11-11-18-16,91.2,95.1,True,62.5,59.8,Qatar Grand Prix
3,S-S-H-S,SOFT-SOFT-HARD-SOFT,13-13-18-13,93.7,100.0,True,65.0,64.7,Qatar Grand Prix
3,S-S-H-M,SOFT-SOFT-HARD-MEDIUM,11-11-16-18,91.2,95.1,True,62.5,59.8,Qatar Grand Prix
3,S-S-H-H,SOFT-SOFT-HARD-HARD,12-12-17-17,91.7,95.8,True,63.0,60.5,Qatar Grand Prix
3,S-M-S-S,SOFT-MEDIUM-SOFT-SOFT,12-20-12-12,93.0,99.0,True,64.3,63.7,Qatar Grand Prix
3,S-M-S-M,SOFT-MEDIUM-SOFT-MEDIUM,11-17-11-17,90.7,95.0,True,62.0,59.7,Qatar Grand Prix
3,S-M-S-H,SOFT-MEDIUM-SOFT-HARD,11-18-11-16,91.2,95.1,True,62.5,59.8,Qatar Grand Prix
3,S-M-M-S,SOFT-MEDIUM-MEDIUM-SOFT,11-17-17-11,90.7,95.0,True,62.0,59.7,Qatar Grand Prix
3,S-M-M-M,SOFT-MEDIUM-MEDIUM-MEDIUM,10-16-16-16,88.8,92.3,True,60.1,57.0,Qatar Grand Prix
3,S-M-M-H,SOFT-MEDIUM-MEDIUM-HARD,10-16-16-14,89.2,92.2,True,60.5,56.9,Qatar Grand Prix
3,S-M-H-S,SOFT-MEDIUM-HARD-SOFT,11-18-16-11,91.2,95.1,True,62.5,59.8,Qatar Grand Prix
3,S-M-H-M,SOFT-MEDIUM-HARD-MEDIUM,10-16-14-16,89.2,92.2,True,60.5,56.9,Qatar Grand Prix
3,S-M-H-H,SOFT-MEDIUM-HARD-HARD,11-17-15-15,89.6,92.6,True,60.9,57.3,Qatar Grand Prix
3,S-H-S-S,SOFT-HARD-SOFT-SOFT,13-18-13-13,93.7,100.0,True,65.0,64.7,Qatar Grand Prix
3,S-H-S-M,SOFT-HARD-SOFT-MEDIUM,11-16-11-18,91.2,95.1,True,62.5,59.8,Qatar Grand Prix
3,S-H-S-H,SOFT-HARD-SOFT-HARD,12-17-12-17,91.7,95.8,True,63.0,60.5,Qatar Grand Prix
3,S-H-M-S,SOFT-HARD-MEDIUM-SOFT,11-16-18-11,91.2,95.1,True,62.5,59.8,Qatar Grand Prix
3,S-H-M-M,SOFT-HARD-MEDIUM-MEDIUM,10-14-16-16,89.2,92.2,True,60.5,56.9,Qatar Grand Prix
3,S-H-M-H,SOFT-HARD-MEDIUM-HARD,11-15-17-15,89.6,92.6,True,60.9,57.3,Qatar Grand Prix
3,S-H-H-S,SOFT-HARD-HARD-SOFT,12-17-17-12,91.7,95.8,True,63.0,60.5,Qatar Grand Prix
3,S-H-H-M,SOFT-HARD-HARD-MEDIUM,11-15-15-17,89.6,92.6,True,60.9,57.3,Qatar Grand Prix
3,S-H-H-H,SOFT-HARD-HARD-HARD,11-15-15-15,90.0,92.5,True,61.3,57.2,Qatar Grand Prix
3,M-S-S-S,MEDIUM-SOFT-SOFT-SOFT,20-12-12-12,93.0,99.0,True,64.3,63.7,Qatar Grand Prix
3,M-S-S-M,MEDIUM-SOFT-SOFT-MEDIUM,17-11-11-17,90.7,95.0,True,62.0,59.7,Qatar Grand Prix
3,M-S-S-H,MEDIUM-SOFT-SOFT-HARD,18-11-11-16,91.2,95.1,True,62.5,59.8,Qatar Grand Prix
3,M-S-M-S,MEDIUM-SOFT-MEDIUM-SOFT,17-11-17-11,90.7,95.0,True,62.0,59.7,Qatar Grand Prix
3,M-S-M-M,MEDIUM-SOFT-MEDIUM-MEDIUM,16-10-16-16,88.8,92.3,True,60.1,57.0,Qatar Grand Prix
3,M-S-M-H,MEDIUM-SOFT-MEDIUM-HARD,16-10-16-14,89.2,92.2,True,60.5,56.9,Qatar Grand Prix
3,M-S-H-S,MEDIUM-SOFT-HARD-SOFT,18-11-16-11,91.2,95.1,True,62.5,59.8,Qatar Grand Prix
3,M-S-H-M,MEDIUM-SOFT-HARD-MEDIUM,16-10-14-16,89.2,92.2,True,60.5,56.9,Qatar Grand Prix
3,M-S-H-H,MEDIUM-SOFT-HARD-HARD,17-11-15-15,89.6,92.6,True,60.9,57.3,Qatar Grand Prix
3,M-M-S-S,MEDIUM-MEDIUM-SOFT-SOFT,17-17-11-11,90.7,95.0,True,62.0,59.7,Qatar Grand Prix
3,M-M-S-M,MEDIUM-MEDIUM-SOFT-MEDIUM,16-16-10-16,88.8,92.3,True,60.1,57.0,Qatar Grand Prix
3,M-M-S-H,MEDIUM-MEDIUM-SOFT-HARD,16-16-10-14,89.2,92.2,True,60.5,56.9,Qatar Grand Prix
3,M-M-M-S,MEDIUM-MEDIUM-MEDIUM-SOFT,16-16-16-10,88.8,92.3,True,60.1,57.0,Qatar Grand Prix
3,M-M-M-H,MEDIUM-MEDIUM-MEDIUM-HARD,15-15-15-13,87.6,90.2,True,58.9,54.9,Qatar Grand Prix
3,M-M-H-S,MEDIUM-MEDIUM-HARD-SOFT,16-16-14-10,89.2,92.2,True,60.5,56.9,Qatar Grand Prix
3,M-M-H-M,MEDIUM-MEDIUM-HARD-MEDIUM,15-15-13-15,87.6,90.2,True,58.9,54.9,Qatar Grand Prix
3,M-M-H-H,MEDIUM-MEDIUM-HARD-HARD,15-15-13-13,87.9,90.1,True,59.2,54.8,Qatar Grand Prix
3,M-H-S-S,MEDIUM-HARD-SOFT-SOFT,18-16-11-11,91.2,95.1,True,62.5,59.8,Qatar Grand Prix
3,M-H-S-M,MEDIUM-HARD-SOFT-MEDIUM,16-14-10-16,89.2,92.2,True,60.5,56.9,Qatar Grand Prix
3,M-H-S-H,MEDIUM-HARD-SOFT-HARD,17-15-11-15,89.6,92.6,True,60.9,57.3,Qatar Grand Prix
3,M-H-M-S,MEDIUM-HARD-MEDIUM-SOFT,16-14-16-10,89.2,92.2,True,60.5,56.9,Qatar Grand Prix
3,M-H-M-M,MEDIUM-HARD-MEDIUM-MEDIUM,15-13-15-15,87.6,90.2,True,58.9,54.9,Qatar Grand Prix
3,M-H-M-H,MEDIUM-HARD-MEDIUM-HARD,15-13-15-13,87.9,90.1,True,59.2,54.8,Qatar Grand Prix
3,M-H-H-S,MEDIUM-HARD-HARD-SOFT,17-15-15-11,89.6,92.6,True,60.9,57.3,Qatar Grand Prix
3,M-H-H-M,MEDIUM-HARD-HARD-MEDIUM,15-13-13-15,87.9,90.1,True,59.2,54.8,Qatar Grand Prix
3,M-H-H-H,MEDIUM-HARD-HARD-HARD,16-14-14-14,88.2,90.3,True,59.5,55.0,Qatar Grand Prix
3,H-S-S-S,HARD-SOFT-SOFT-SOFT,18-13-13-13,93.7,100.0,True,65.0,64.7,Qatar Grand Prix
3,H-S-S-M,HARD-SOFT-SOFT-MEDIUM,16-11-11-18,91.2,95.1,True,62.5,59.8,Qatar Grand Prix
3,H-S-S-H,HARD-SOFT-SOFT-HARD,17-12-12-17,91.7,95.8,True,63.0,60.5,Qatar Grand Prix
3,H-S-M-S,HARD-SOFT-MEDIUM-SOFT,16-11-18-11,91.2,95.1,True,62.5,59.8,Qatar Grand Prix
3,H-S-M-M,HARD-SOFT-MEDIUM-MEDIUM,14-10-16-16,89.2,92.2,True,60.5,56.9,Qatar Grand Prix
3,H-S-M-H,HARD-SOFT-MEDIUM-HARD,15-11-17-15,89.6,92.6,True,60.9,57.3,Qatar Grand Prix
3,H-S-H-S,HARD-SOFT-HARD-SOFT,17-12-17-12,91.7,95.8,True,63.0,60.5,Qatar Grand Prix
3,H-S-H-M,HARD-SOFT-HARD-MEDIUM,15-11-15-17,89.6,92.6,True,60.9,57.3,Qatar Grand Prix
3,H-S-H-H,HARD-SOFT-HARD-HARD,15-11-15-15,90.0,92.5,True,61.3,57.2,Qatar Grand Prix
3,H-M-S-S,HARD-MEDIUM-SOFT-SOFT,16-18-11-11,91.2,95.1,True,62.5,59.8,Qatar Grand Prix
3,H-M-S-M,HARD-MEDIUM-SOFT-MEDIUM,14-16-10-16,89.2,92.2,True,60.5,56.9,Qatar Grand Prix
3,H-M-S-H,HARD-MEDIUM-SOFT-HARD,15-17-11-15,89.6,92.6,True,60.9,57.3,Qatar Grand Prix
3,H-M-M-S,HARD-MEDIUM-MEDIUM-SOFT,14-16-16-10,89.2,92.2,True,60.5,56.9,Qatar Grand Prix
3,H-M-M-M,HARD-MEDIUM-MEDIUM-MEDIUM,13-15-15-15,87.6,90.2,True,58.9,54.9,Qatar Grand Prix
3,H-M-M-H,HARD-MEDIUM-MEDIUM-HARD,13-15-15-13,87.9,90.1,True,59.2,54.8,Qatar Grand Prix
3,H-M-H-S,HARD-MEDIUM-HARD-SOFT,15-17-15-11,89.6,92.6,True,60.9,57.3,Qatar Grand Prix
3,H-M-H-M,HARD-MEDIUM-HARD-MEDIUM,13-15-13-15,87.9,90.1,True,59.2,54.8,Qatar Grand Prix
3,H-M-H-H,HARD-MEDIUM-HARD-HARD,14-16-14-14,88.2,90.3,True,59.5,55.0,Qatar Grand Prix
3,H-H-S-S,HARD-HARD-SOFT-SOFT,17-17-12-12,91.7,95.8,True,63.0,60.5,Qatar Grand Prix
3,H-H-S-M,HARD-HARD-SOFT-MEDIUM,15-15-11-17,89.6,92.6,True,60.9,57.3,Qatar Grand Prix
3,H-H-S-H,HARD-HARD-SOFT-HARD,15-15-11-15,90.0,92.5,True,61.3,57.2,Qatar Grand Prix
3,H-H-M-S,HARD-HARD-MEDIUM-SOFT,15-15-17-11,89.6,92.6,True,60.9,57.3,Qatar Grand Prix
3,H-H-M-M,HARD-HARD-MEDIUM-MEDIUM,13-13-15-15,87.9,90.1,True,59.2,54.8,Qatar Grand Prix
3,H-H-M-H,HARD-HARD-MEDIUM-HARD,14-14-16-14,88.2,90.3,True,59.5,55.0,Qatar Grand Prix
3,H-H-H-S,HARD-HARD-HARD-SOFT,15-15-15-11,90.0,92.5,True,61.3,57.2,Qatar Grand Prix
3,H-H-H-M,HARD-HARD-HARD-MEDIUM,14-14-14-16,88.2,90.3,True,59.5,55.0,Qatar Grand Prix
1,S-M,SOFT-MEDIUM,21-29,54.9,35.7,False,0.0,0.0,Saudi Arabian Grand Prix
1,S-H,SOFT-HARD,12-38,81.7,49.5,True,26.8,13.8,Saudi Arabian Grand Prix
1,M-S,MEDIUM-SOFT,29-21,54.9,35.7,False,0.0,0.0,Saudi Arabian Grand Prix
1,M-H,MEDIUM-HARD,15-35,75.6,42.8,True,20.7,7.1,Saudi Arabian Grand Prix
1,H-S,HARD-SOFT,38-12,81.7,49.5,True,26.8,13.8,Saudi Arabian Grand Prix
1,H-M,HARD-MEDIUM,35-15,75.6,42.8,True,20.7,7.1,Saudi Arabian Grand Prix
2,S-S-M,SOFT-SOFT-MEDIUM,15-15-20,67.6,57.2,True,12.7,21.5,Saudi Arabian Grand Prix
2,S-S-H,SOFT-SOFT-HARD,10-10-30,89.4,67.3,True,34.5,31.6,Saudi Arabian Grand Prix
2,S-M-S,SOFT-MEDIUM-SOFT,15-20-15,67.6,57.2,True,12.7,21.5,Saudi Arabian Grand Prix
2,S-M-M,SOFT-MEDIUM-MEDIUM,14-18-18,65.6,50.0,True,10.7,14.3,Saudi Arabian Grand Prix
2,S-M-H,SOFT-MEDIUM-HARD,9-12-29,85.5,62.7,True,30.6,27.0,Saudi Arabian Grand Prix
2,S-H-S,SOFT-HARD-SOFT,10-30-10,89.4,67.3,True,34.5,31.6,Saudi Arabian Grand Prix
2,S-H-M,SOFT-HARD-MEDIUM,9-29-12,85.5,62.7,True,30.6,27.0,Saudi Arabian Grand Prix
2,S-H-H,SOFT-HARD-HARD,7-22-22,91.2,69.1,True,36.3,33.4,Saudi Arabian Grand Prix
2,M-S-S,MEDIUM-SOFT-SOFT,20-15-15,67.6,57.2,True,12.7,21.5,Saudi Arabian Grand Prix
2,M-S-M,MEDIUM-SOFT-MEDIUM,18-14-18,65.6,50.0,True,10.7,14.3,Saudi Arabian Grand Prix
2,M-S-H,MEDIUM-SOFT-HARD,12-9-29,85.5,62.7,True,30.6,27.0,Saudi Arabian Grand Prix
2,M-M-S,MEDIUM-MEDIUM-SOFT,18-18-14,65.6,50.0,True,10.7,14.3,Saudi Arabian Grand Prix
2,M-M-H,MEDIUM-MEDIUM-HARD,12-12-27,82.2,59.2,True,27.3,23.5,Saudi Arabian Grand Prix
2,M-H-S,MEDIUM-HARD-SOFT,12-29-9,85.5,62.7,True,30.6,27.0,Saudi Arabian Grand Prix
2,M-H-M,MEDIUM-HARD-MEDIUM,12-27-12,82.2,59.2,True,27.3,23.5,Saudi Arabian Grand Prix
2,M-H-H,MEDIUM-HARD-HARD,9-21-21,88.1,66.5,True,33.2,30.8,Saudi Arabian Grand Prix
2,H-S-S,HARD-SOFT-SOFT,30-10-10,89.4,67.3,True,34.5,31.6,Saudi Arabian Grand Prix
2,H-S-M,HARD-SOFT-MEDIUM,29-9-12,85.5,62.7,True,30.6,27.0,Saudi Arabian Grand Prix
2,H-S-H,HARD-SOFT-HARD,22-7-22,91.2,69.1,True,36.3,33.4,Saudi Arabian Grand Prix
2,H-M-S,HARD-MEDIUM-SOFT,29-12-9,85.5,62.7,True,30.6,27.0,Saudi Arabian Grand Prix
2,H-M-M,HARD-MEDIUM-MEDIUM,27-12-12,82.2,59.2,True,27.3,23.5,Saudi Arabian Grand Prix
2,H-M-H,HARD-MEDIUM-HARD,21-9-21,88.1,66.5,True,33.2,30.8,Saudi Arabian Grand Prix
2,H-H-S,HARD-HARD-SOFT,22-22-7,91.2,69.1,True,36.3,33.4,Saudi Arabian Grand Prix
2,H-H-M,HARD-HARD-MEDIUM,21-21-9,88.1,66.5,True,33.2,30.8,Saudi Arabian Grand Prix
1,S-M,SOFT-MEDIUM,25-37,83.3,35.6,True,0.0,0.0,Singapore Grand Prix
1,S-H,SOFT-HARD,20-42,101.3,39.1,True,18.0,3.5,Singapore Grand Prix
1,M-S,MEDIUM-SOFT,37-25,83.3,35.6,True,0.0,0.0,Singapore Grand Prix
1,M-H,MEDIUM-HARD,26-36,99.5,44.2,True,16.2,8.6,Singapore Grand Prix
1,H-S,HARD-SOFT,42-20,101.3,39.1,True,18.0,3.5,Singapore Grand Prix
1,H-M,HARD-MEDIUM,36-26,99.5,44.2,True,16.2,8.6,Singapore Grand Prix
2,S-S-M,SOFT-SOFT-MEDIUM,18-18-26,90.4,56.0,True,7.1,20.4,Singapore Grand Prix
2,S-S-H,SOFT-SOFT-HARD,15-15-31,104.5,63.1,True,21.2,27.5,Singapore Grand Prix
2,S-M-S,SOFT-MEDIUM-SOFT,18-26-18,90.4,56.0,True,7.1,20.4,Singapore Grand Prix
2,S-M-M,SOFT-MEDIUM-MEDIUM,16-23-23,95.2,61.1,True,11.9,25.5,Singapore Grand Prix
2,S-M-H,SOFT-MEDIUM-HARD,14-20-28,105.8,67.1,True,22.5,31.5,Singapore Grand Prix
2,S-H-S,SOFT-HARD-SOFT,15-31-15,104.5,63.1,True,21.2,27.5,Singapore Grand Prix
2,S-H-M,SOFT-HARD-MEDIUM,14-28-20,105.8,67.1,True,22.5,31.5,Singapore Grand Prix
2,S-H-H,SOFT-HARD-HARD,12-25-25,112.9,72.7,True,29.6,37.1,Singapore Grand Prix
2,M-S-S,MEDIUM-SOFT-SOFT,26-18-18,90.4,56.0,True,7.1,20.4,Singapore Grand Prix
2,M-S-M,MEDIUM-SOFT-MEDIUM,23-16-23,95.2,61.1,True,11.9,25.5,Singapore Grand Prix
2,M-S-H,MEDIUM-SOFT-HARD,20-14-28,105.8,67.1,True,22.5,31.5,Singapore Grand Prix
2,M-M-S,MEDIUM-MEDIUM-SOFT,23-23-16,95.2,61.1,True,11.9,25.5,Singapore Grand Prix
2,M-M-H,MEDIUM-MEDIUM-HARD,18-18-25,106.5,70.0,True,23.2,34.4,Singapore Grand Prix
2,M-H-S,MEDIUM-HARD-SOFT,20-28-14,105.8,67.1,True,22.5,31.5,Singapore Grand Prix
2,M-H-M,MEDIUM-HARD-MEDIUM,18-25-18,106.5,70.0,True,23.2,34.4,Singapore Grand Prix
2,M-H-H,MEDIUM-HARD-HARD,17-23-23,112.3,75.0,True,29.0,39.4,Singapore Grand Prix
2,H-S-S,HARD-SOFT-SOFT,31-15-15,104.5,63.1,True,21.2,27.5,Singapore Grand Prix
2,H-S-M,HARD-SOFT-MEDIUM,28-14-20,105.8,67.1,True,22.5,31.5,Singapore Grand Prix
2,H-S-H,HARD-SOFT-HARD,25-12-25,112.9,72.7,True,29.6,37.1,Singapore Grand Prix
2,H-M-S,HARD-MEDIUM-SOFT,28-20-14,105.8,67.1,True,22.5,31.5,Singapore Grand Prix
2,H-M-M,HARD-MEDIUM-MEDIUM,25-18-18,106.5,70.0,True,23.2,34.4,Singapore Grand Prix
2,H-M-H,HARD-MEDIUM-HARD,23-17-23,112.3,75.0,True,29.0,39.4,Singapore Grand Prix
2,H-H-S,HARD-HARD-SOFT,25-25-12,112.9,72.7,True,29.6,37.1,Singapore Grand Prix
2,H-H-M,HARD-HARD-MEDIUM,23-23-17,112.3,75.0,True,29.0,39.4,Singapore Grand Prix
1,S-M,SOFT-MEDIUM,26-40,99.4,90.1,False,7.7,2.8,Spanish Grand Prix
1,S-H,SOFT-HARD,24-42,114.9,105.1,False,23.2,17.8,Spanish Grand Prix
1,M-S,MEDIUM-SOFT,40-26,99.4,90.1,False,7.7,2.8,Spanish Grand Prix
1,M-H,MEDIUM-HARD,31-35,112.8,100.8,True,21.1,13.5,Spanish Grand Prix
1,H-S,HARD-SOFT,42-24,114.9,105.1,False,23.2,17.8,Spanish Grand Prix
1,H-M,HARD-MEDIUM,35-31,112.8,100.8,True,21.1,13.5,Spanish Grand Prix
2,S-S-M,SOFT-SOFT-MEDIUM,19-19-28,91.7,87.3,True,0.0,0.0,Spanish Grand Prix
2,S-S-H,SOFT-SOFT-HARD,18-18-31,103.3,99.7,True,11.6,12.4,Spanish Grand Prix
2,S-M-S,SOFT-MEDIUM-SOFT,19-28-19,91.7,87.3,True,0.0,0.0,Spanish Grand Prix
2,S-M-M,SOFT-MEDIUM-MEDIUM,16-25-25,95.8,88.5,True,4.1,1.2,Spanish Grand Prix
2,S-M-H,SOFT-MEDIUM-HARD,16-23-27,104.9,97.0,True,13.2,9.7,Spanish Grand Prix
2,S-H-S,SOFT-HARD-SOFT,18-31-18,103.3,99.7,True,11.6,12.4,Spanish Grand Prix
