Team,deg_index,deg_pct,deg_abs,n_stints
Audi,0.6779435430092511,0.04077671254284154,0.0374404489484578,46
Aston Martin,0.8164948453608301,0.05886487938414716,0.04349999999999987,31
Mercedes,0.8599302311831146,0.06062258488037975,0.04959090909090882,45
Racing Bulls,0.9454980166278306,0.07365734096999979,0.05883333333333359,41
Williams,0.9935455639426627,0.063116806598911,0.053562500000000846,41
Ferrari,1.0,0.06409103175317096,0.05553846153846109,51
Alpine,1.0198726905760234,0.07901654750263526,0.06222000000000008,47
McLaren,1.079479768786184,0.09966313649274791,0.07690000000000001,45
Red Bull Racing,1.0801091570648904,0.07356815173672214,0.0572499999999998,43
Haas F1 Team,1.1573627793671353,0.05702490584270174,0.05467516025641027,42
Cadillac,1.2799254774103621,0.06473272674570714,0.0555203804347824,31
