band,from,to,exposure_laps,mechanical,accident,mech_hazard,acc_hazard
0,0.0,0.2,39521.6,32,67,0.0008096838184688879,0.001695275494919234
1,0.2,0.4,38612.2,24,20,0.0006215652047798365,0.000517971003983197
2,0.4,0.6000000000000001,37800.000000000015,34,16,0.0008994708994708991,0.00042328042328042314
3,0.6000000000000001,0.8,36887.999999999985,37,21,0.001003036217740187,0.000569290826284971
4,0.8,1.0,34666.2,34,29,0.0009807824336096832,0.0008365497227847299
