Driver,Race,affinity,n_samples,spread,seasons
HAM,United States Grand Prix,2.75,2,0.0,"2022,2025"
SAI,United States Grand Prix,2.3126986013997786,2,0.6342105263157896,"2023,2024"
LEC,United States Grand Prix,1.890119135475598,3,2.138755980861244,"2022,2024,2025"
MAG,United States Grand Prix,1.8888888888888895,2,3.166666666666666,"2022,2024"
HUL,United States Grand Prix,1.7640029018539773,3,0.20769230769230873,"2023,2024,2025"
NOR,United States Grand Prix,1.068742468194928,4,4.669082125603865,"2022,2023,2024,2025"
VER,United States Grand Prix,0.977346210290726,4,2.086956521739131,"2022,2023,2024,2025"
ALO,United States Grand Prix,0.39157966173484543,2,0.8235294117647065,"2022,2025"
STR,United States Grand Prix,0.21527777777777737,2,2.395833333333334,"2023,2025"
GAS,United States Grand Prix,-0.4802402552033965,3,6.138755980861244,"2022,2023,2024"
PER,United States Grand Prix,-0.6373362389406062,3,0.8322368421052633,"2022,2023,2024"
RUS,United States Grand Prix,-0.8106801193141688,4,2.850241545893719,"2022,2023,2024,2025"
PIA,United States Grand Prix,-1.2529294612360151,2,2.352272727272727,"2024,2025"
ALB,United States Grand Prix,-2.359244387970244,3,6.6625,"2022,2023,2025"
OCO,United States Grand Prix,-3.040108740636784,2,0.3249999999999993,"2022,2025"
